date,time,stress,smoked
2014-08-19,16:48:58,0.115804,-1
2014-08-19,16:48:59,0.10828,-1
2014-08-19,16:49:00,0.112948,-1
2014-08-19,16:49:01,0.12865,-1
2014-08-19,16:49:02,0.148181,-1
2014-08-19,16:49:03,0.128751,-1
2014-08-19,16:49:05,0.209577,-1
2014-08-19,16:49:06,0.287127,-1
2014-08-19,16:49:07,0.272894,-1
2014-08-19,16:49:08,0.24669,-1
2014-08-19,16:49:09,0.2508,-1
2014-08-19,16:49:10,0.253229,-1
2014-08-19,16:49:11,0.286752,-1
2014-08-19,16:49:13,0.215979,-1
2014-08-19,16:49:14,0.240804,-1
2014-08-19,16:49:15,0.261517,-1
2014-08-19,16:49:16,0.237291,-1
2014-08-19,16:49:17,0.237291,-1
2014-08-19,16:49:18,0.256198,-1
2014-08-19,16:49:19,0.261267,-1
2014-08-19,16:49:20,0.278261,-1
2014-08-19,16:49:21,0.221337,-1
2014-08-19,16:49:22,0.243041,-1
2014-08-19,16:49:23,0.236132,-1
2014-08-19,16:49:24,0.225608,-1
2014-08-19,16:49:25,0.236383,-1
2014-08-19,16:49:26,0.254105,-1
2014-08-19,16:49:27,0.281935,-1
2014-08-19,16:49:28,0.308028,-1
2014-08-19,16:49:29,0.323134,-1
2014-08-19,16:49:30,0.332335,-1
2014-08-19,16:49:31,0.382328,-1
2014-08-19,16:49:32,0.366537,-1
2014-08-19,16:49:35,0.48896,-1
2014-08-19,16:49:36,0.517823,-1
2014-08-19,16:49:37,0.5,-1
2014-08-19,16:49:38,0.5,-1
2014-08-19,16:49:39,0.480812,-1
2014-08-19,16:49:40,0.481015,-1
2014-08-19,16:49:41,0.478899,-1
2014-08-19,16:49:42,0.407837,-1
2014-08-19,16:49:44,0.407621,-1
2014-08-19,16:49:46,0.466925,-1
2014-08-19,16:49:49,0.400876,-1
2014-08-19,16:49:50,0.410221,-1
2014-08-19,16:49:51,0.402155,-1
2014-08-19,16:49:52,0.404141,-1
2014-08-19,16:49:53,0.430754,-1
2014-08-19,16:49:54,0.425571,-1
2014-08-19,16:49:55,0.450938,-1
2014-08-19,16:49:56,0.362624,-1
2014-08-19,16:49:57,0.376502,-1
